postId,id,name,email,body,date,week,year_week,word_count,email_domain,text_length_category,post_count,avg_word_count,avg_length
75,1,Dallas,Meghan_Littel@rosamond.me,voluptate iusto quis nobis reprehenderit ipsum amet nulla quia quas dolores velit et non aut quia necessitatibus nostrum quaerat nulla et accusamus nisi facilis,2025-07-11 13:59:04.117633,28,2025-W27,24,rosamond.me,Long,58,21.53448275862069,147.89655172413794
20,2,Dallas,Presley.Mueller@myrl.com,non et atque occaecati deserunt quas accusantium unde odit nobis qui voluptatem quia voluptas consequuntur itaque dolor et qui rerum deleniti ut occaecati,2025-09-02 13:59:04.117633,36,2025-W35,23,myrl.com,Long,52,21.25,147.42307692307693
1,3,Jayne_Kuhic,Eliseo@gardner.biz,maiores sed dolores similique labore et inventore et quasi temporibus esse sunt id et eos voluptatem aliquam aliquid ratione corporis molestiae mollitia quia,2025-07-30 13:59:04.117633,31,2025-W30,23,gardner.biz,Long,58,21.96551724137931,150.13793103448276
23,4,Nikita,Dallas@ole.me,non et atque occaecati deserunt quas accusantium unde odit nobis qui voluptatem quia voluptas consequuntur itaque dolor et qui rerum deleniti ut occaecati,2025-07-24 13:59:04.117633,30,2025-W29,23,ole.me,Long,39,21.307692307692307,150.15384615384616
31,5,Carmen_Keeling,Lew@alysha.tv,voluptate iusto quis nobis reprehenderit ipsum amet nulla quia quas dolores velit et non aut quia necessitatibus nostrum quaerat nulla et accusamus nisi facilis,2025-08-21 13:59:04.117633,34,2025-W33,24,alysha.tv,Long,54,21.74074074074074,151.22222222222223
7,6,Jayne_Kuhic,Mallory_Kunze@marie.org,sapiente assumenda molestiae atque adipisci laborum distinctio aperiam et ab ut omnis et occaecati aspernatur odit sit rem expedita quas enim,2025-07-03 13:59:04.117633,27,2025-W26,21,marie.org,Long,52,21.53846153846154,148.23076923076923
50,7,Hayden,Nikita@garfield.biz,harum non quasi et ratione tempore iure ex voluptates in ratione harum architecto fugit inventore cupiditate voluptates magni quo et,2025-08-11 13:59:04.117633,33,2025-W32,20,garfield.biz,Long,47,21.148936170212767,145.80851063829786
57,8,Eliseo,Jayne_Kuhic@sydney.com,non et atque occaecati deserunt quas accusantium unde odit nobis qui voluptatem quia voluptas consequuntur itaque dolor et qui rerum deleniti ut occaecati,2025-07-26 13:59:04.117633,30,2025-W29,23,sydney.com,Long,46,21.891304347826086,148.47826086956522
64,9,Meghan_Littel,Carmen_Keeling@caroline.name,quia molestiae reprehenderit quasi aspernatur aut expedita occaecati aliquam eveniet laudantium omnis quibusdam delectus saepe quia accusamus maiores nam est,2025-07-19 13:59:04.117633,29,2025-W28,20,caroline.name,Long,50,21.26,148.02
8,10,Mallory_Kunze,Dallas@ole.me,non et atque occaecati deserunt quas accusantium unde odit nobis qui voluptatem quia voluptas consequuntur itaque dolor et qui rerum deleniti ut occaecati,2025-08-21 13:59:04.117633,34,2025-W33,23,ole.me,Long,39,21.307692307692307,150.15384615384616
75,11,Meghan_Littel,Mallory_Kunze@marie.org,ut voluptatem corrupti velit ad voluptatem maiores et nisi velit vero accusamus maiores voluptates sequi et unde sed ut sed aliquam,2025-08-18 13:59:04.117633,34,2025-W33,21,marie.org,Long,52,21.53846153846154,148.23076923076923
9,12,Dallas,Meghan_Littel@rosamond.me,non et atque occaecati deserunt quas accusantium unde odit nobis qui voluptatem quia voluptas consequuntur itaque dolor et qui rerum deleniti ut occaecati,2025-07-02 13:59:04.117633,27,2025-W26,23,rosamond.me,Long,58,21.53448275862069,147.89655172413794
15,13,Jayne_Kuhic,Hayden@althea.biz,laudantium enim quasi est quidem magnam voluptate ipsam eos tempora quo necessitatibus dolor quam autem quasi reiciendis et nam sapiente accusantium,2025-07-29 13:59:04.117633,31,2025-W30,21,althea.biz,Long,44,21.40909090909091,147.79545454545453
52,14,Eliseo,Meghan_Littel@rosamond.me,non et atque occaecati deserunt quas accusantium unde odit nobis qui voluptatem quia voluptas consequuntur itaque dolor et qui rerum deleniti ut occaecati,2025-07-05 13:59:04.117633,27,2025-W26,23,rosamond.me,Long,58,21.53448275862069,147.89655172413794
60,15,Nikita,Eliseo@gardner.biz,voluptate iusto quis nobis reprehenderit ipsum amet nulla quia quas dolores velit et non aut quia necessitatibus nostrum quaerat nulla et accusamus nisi facilis,2025-07-31 13:59:04.117633,31,2025-W30,24,gardner.biz,Long,58,21.96551724137931,150.13793103448276
28,16,Dallas,Nikita@garfield.biz,harum non quasi et ratione tempore iure ex voluptates in ratione harum architecto fugit inventore cupiditate voluptates magni quo et,2025-09-02 13:59:04.117633,36,2025-W35,20,garfield.biz,Long,47,21.148936170212767,145.80851063829786
73,17,Lew,Presley.Mueller@myrl.com,non et atque occaecati deserunt quas accusantium unde odit nobis qui voluptatem quia voluptas consequuntur itaque dolor et qui rerum deleniti ut occaecati,2025-08-28 13:59:04.117633,35,2025-W34,23,myrl.com,Long,52,21.25,147.42307692307693
58,18,Lew,Presley.Mueller@myrl.com,doloribus at sed quis culpa deserunt consectetur qui praesentium accusamus fugiat dicta voluptatem rerum ut voluptate autem voluptatem repellendus aspernatur,2025-09-01 13:59:04.117633,36,2025-W35,20,myrl.com,Long,52,21.25,147.42307692307693
48,19,Hayden,Carmen_Keeling@caroline.name,harum non quasi et ratione tempore iure ex voluptates in ratione harum architecto fugit inventore cupiditate voluptates magni quo et,2025-08-16 13:59:04.117633,33,2025-W32,20,caroline.name,Long,50,21.26,148.02
27,20,Carmen_Keeling,Presley.Mueller@myrl.com,laudantium enim quasi est quidem magnam voluptate ipsam eos tempora quo necessitatibus dolor quam autem quasi reiciendis et nam sapiente accusantium,2025-07-20 13:59:04.117633,29,2025-W29,21,myrl.com,Long,52,21.25,147.42307692307693
78,21,Carmen_Keeling,Jayne_Kuhic@sydney.com,non et atque occaecati deserunt quas accusantium unde odit nobis qui voluptatem quia voluptas consequuntur itaque dolor et qui rerum deleniti ut occaecati,2025-07-18 13:59:04.117633,29,2025-W28,23,sydney.com,Long,46,21.891304347826086,148.47826086956522
9,22,Eliseo,Mallory_Kunze@marie.org,ut voluptatem corrupti velit ad voluptatem maiores et nisi velit vero accusamus maiores voluptates sequi et unde sed ut sed aliquam,2025-08-06 13:59:04.117633,32,2025-W31,21,marie.org,Long,52,21.53846153846154,148.23076923076923
